Ranking_Year,Institute_ID,Name,Rank,Score,City,State,PDF_URL,Program,Placement_Col_1,Placement_Col_2,Placement_Col_3,Placement_Col_4,Placement_Col_5,Placement_Col_6,Placement_Col_7,Placement_Col_8,Placement_Col_9,Placement_Col_10
2017,IR17-I-2-18243,Indian Institute of Science Bangalore,1,83.28,Bengaluru,Karnataka,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-18243.pdf,Unknown Program,2015-16,PG [2 Years],49,0,1502000,,,,,
2017,IR17-I-2-18243,Indian Institute of Science Bangalore,1,83.28,Bengaluru,Karnataka,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-18243.pdf,Unknown Program,2015-16,UG [4 Years],0,55,0,,,,,
2017,IR17-I-1-1-77,Indian Institute of Technology Madras,2,73.97,Chennai,Tamil Nadu,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-1-1-77.pdf,Unknown Program,2015-16,PG [2 Years],227,137,893000,,,,,
2017,IR17-I-1-1-77,Indian Institute of Technology Madras,2,73.97,Chennai,Tamil Nadu,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-1-1-77.pdf,Unknown Program,2015-16,PG [3 Years],56,33,900000,,,,,
2017,IR17-I-1-1-77,Indian Institute of Technology Madras,2,73.97,Chennai,Tamil Nadu,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-1-1-77.pdf,Unknown Program,2015-16,UG [4 Years],216,114,1000000,,,,,
2017,IR17-I-1-1-77,Indian Institute of Technology Madras,2,73.97,Chennai,Tamil Nadu,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-1-1-77.pdf,Unknown Program,2015-16,PG-Integrated [5 Years],5,11,561000,,,,,
2017,IR17-I-1-1-77,Indian Institute of Technology Madras,2,73.97,Chennai,Tamil Nadu,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-1-1-77.pdf,Unknown Program,2015-16,UG [5 Years],207,87,1000000,,,,,
2017,IR17-I-2-18633,Indian Institute of Technology Bombay,3,71.78,Mumbai,Maharashtra,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-18633.pdf,Unknown Program,2015-16,PG [1 Years],0,0,0,,,,,
2017,IR17-I-2-18633,Indian Institute of Technology Bombay,3,71.78,Mumbai,Maharashtra,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-18633.pdf,Unknown Program,2015-16,PG [2 Years],433,69,751733,,,,,
2017,IR17-I-2-18633,Indian Institute of Technology Bombay,3,71.78,Mumbai,Maharashtra,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-18633.pdf,Unknown Program,2015-16,PG [3 Years],0,0,0,,,,,
2017,IR17-I-2-18633,Indian Institute of Technology Bombay,3,71.78,Mumbai,Maharashtra,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-18633.pdf,Unknown Program,2015-16,UG [3 Years],0,0,0,,,,,
2017,IR17-I-2-18633,Indian Institute of Technology Bombay,3,71.78,Mumbai,Maharashtra,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-18633.pdf,Unknown Program,2015-16,UG [4 Years],397,104,880000,,,,,
2017,IR17-I-2-18633,Indian Institute of Technology Bombay,3,71.78,Mumbai,Maharashtra,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-18633.pdf,Unknown Program,2015-16,PG-Integrated [5 Years],11,9,900000,,,,,
2017,IR17-I-2-18633,Indian Institute of Technology Bombay,3,71.78,Mumbai,Maharashtra,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-18633.pdf,Unknown Program,2015-16,UG [5 Years],188,50,900000,,,,,
2017,IR17-I-2-18630,Indian Institute of Technology Kharagpur,4,68.43,Kharagpur,West Bengal,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-18630.pdf,Unknown Program,2015-16,PG [2 Years],510,66,905000,,,,,
2017,IR17-I-2-18630,Indian Institute of Technology Kharagpur,4,68.43,Kharagpur,West Bengal,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-18630.pdf,Unknown Program,2015-16,PG [3 Years],0,0,0,,,,,
2017,IR17-I-2-18630,Indian Institute of Technology Kharagpur,4,68.43,Kharagpur,West Bengal,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-18630.pdf,Unknown Program,2015-16,UG [3 Years],20,0,725000,,,,,
2017,IR17-I-2-18630,Indian Institute of Technology Kharagpur,4,68.43,Kharagpur,West Bengal,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-18630.pdf,Unknown Program,2015-16,UG [4 Years],468,54,1102702,,,,,
2017,IR17-I-2-18630,Indian Institute of Technology Kharagpur,4,68.43,Kharagpur,West Bengal,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-18630.pdf,Unknown Program,2015-16,UG [5 Years],592,82,1137000,,,,,
2017,IR17-I-2-1-79,Indian Institute of Technology Delhi,5,64.18,New Delhi,Delhi,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-1-79.pdf,Unknown Program,2015-16,PG [2 Years],298,58,1264236,,,,,
2017,IR17-I-2-1-79,Indian Institute of Technology Delhi,5,64.18,New Delhi,Delhi,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-1-79.pdf,Unknown Program,2015-16,PG [3 Years],0,0,0,,,,,
2017,IR17-I-2-1-79,Indian Institute of Technology Delhi,5,64.18,New Delhi,Delhi,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-1-79.pdf,Unknown Program,2015-16,UG [4 Years],405,54,1200000,,,,,
2017,IR17-I-2-1-79,Indian Institute of Technology Delhi,5,64.18,New Delhi,Delhi,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-1-79.pdf,Unknown Program,2015-16,UG [5 Years],135,0,1200000,,,,,
2017,IR17-I-2-1-319,Jawaharlal Nehru University,6,61.53,New Delhi,Delhi,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-1-319.pdf,Unknown Program,2015-16,PG [2 Years],79,377,384608,,,,,
2017,IR17-I-2-1-319,Jawaharlal Nehru University,6,61.53,New Delhi,Delhi,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-1-319.pdf,Unknown Program,2015-16,PG [3 Years],12,8,713000,,,,,
2017,IR17-I-2-1-319,Jawaharlal Nehru University,6,61.53,New Delhi,Delhi,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-1-319.pdf,Unknown Program,2015-16,UG [3 Years],0,210,0,,,,,
2017,IR17-I-2-18248,Indian Institute of Technology Kanpur,7,60.69,Kanpur,Uttar Pradesh,https://www.nirfindia.org/nirfpdfcdn/2017/IR17-I-2-18248.pdf,Unknown Program,2015-16,PG [2 Years],155,65,1360000,,,,,
